Entity,Code,year,Day,Training_computation_petaflop,Domain
ResNet-152 (ImageNet),,2015,10-12-2015,12100,Vision
ResNet-50 Billion-scale,,2019,02-05-2019,NA,Vision
Restricted Bolzmann machines,,2007,20-06-2007,NA,Recommendation
RetinaNet-R101,,2017,07-08-2017,NA,Vision
RetinaNet-R50,,2017,07-08-2017,NA,Vision
RoBERTa,,2019,01-07-2019,NA,Language
Rotation,,2018,21-03-2018,NA,Drawing
SACHS,,2005,22-04-2005,NA,Other
SENet (ImageNet),,2017,05-09-2017,NA,Vision
SNARC,,1952,08-01-1952,NA,Other
SPPNet,,2014,18-06-2014,6110,Vision
Samuel Neural Checkers,,1959,01-07-1959,4.28E-07,Games
Self Organizing System,,1955,01-03-1955,NA,Vision
Semantic Hashing,,2008,10-12-2008,NA,Other
Seq2Seq LSTM,,2014,10-09-2014,7300,Language
ShuffleNet v1,,2017,03-07-2017,NA,Vision
ShuffleNet v2,,2018,30-06-2018,NA,Vision
SimCLR,,2020,13-02-2020,NA,Drawing
SmooCT,,2014,01-07-2014,NA,Games
Sparse all-MLP,,2022,14-04-2022,21700,Language
SqueezeNet,,2016,24-02-2016,NA,Vision
Stable Diffusion (LDM-KL-8-G),,2022,13-04-2022,50000000,Drawing
Stacked hourglass network,,2016,17-09-2016,NA,Vision
Stanley /DARPA Grand Challenge 2),,2006,01-01-2006,NA,Driving
Support Vector Machines,,1995,01-09-1995,NA,Other
System 11,,1996,18-06-1996,9.58E-07,Vision
T5-11B,,2019,23-10-2019,40500000,Language
T5-3B,,2019,23-10-2019,10400000,Language
TD(0),,1977,01-08-1977,NA,Other
TD-Gammon,,1992,01-05-1992,0.0182,Games
Theseus,,1950,02-07-1950,4.00E-14,Other
Thumbs Up?,,2002,28-05-2002,NA,Language
Time-delay neural networks,,1989,03-03-1989,NA,Other
TransE,,2013,05-12-2013,1340,Other
Transformer,,2017,12-06-2017,7420,Language
Transformer local-attention (NesT-B),,2021,26-05-2021,24100,Vision
UL2,,2022,10-05-2022,NA,Language
ULM-FiT,,2018,18-01-2018,NA,Language
Unsupervised Scale-Invariant Learning,,2003,18-06-2003,NA,Vision
VGG16,,2014,04-09-2014,8520,Vision
VGG19,,2014,04-09-2014,NA,Vision
ViT-H/14,,2020,28-09-2020,12800000,Vision
Visualizing CNNs,,2013,12-11-2013,532,Vision
Whisper,,2022,21-09-2022,46500000,Speech
Wide Residual Network,,2016,19-09-2016,NA,Vision
Word Representations,,2010,01-06-2010,NA,Language
Word2Vec (large),,2013,16-10-2013,38.9,Language
Word2Vec (small),,2013,16-10-2013,NA,Language
XGLM,,2021,20-12-2021,NA,Language
XLMR-XXL,,2021,17-08-2021,NA,Language
XLNet,,2019,01-06-2019,NA,Language
Xception,,2016,07-10-2016,43600,Vision
YOLO,,2015,08-06-2015,NA,Vision
YOLOv2,,2016,25-12-2016,NA,Vision
YOLOv3,,2018,08-04-2018,50900,Vision
Zip CNN,,1989,01-12-1989,0.0000434,Vision
data2vec (language),,2022,20-01-2022,NA,Language
data2vec (speech),,2022,20-01-2022,NA,Speech
data2vec (vision),,2022,20-01-2022,NA,Vision
wave2vec 2.0 LARGE,,2020,22-10-2020,434000,Speech
