Entity,Code,year,Day,Training_computation_petaflop,Researcher_affiliation
Part-of-sentence tagging model,,2016,21-07-2016,145,Academia
Parti,,2022,22-06-2022,396000000,Industry
Pattern recognition and reading by machine,,1959,01-12-1959,NA,Industry
Perceptron Mark I,,1957,01-01-1957,6.95E-10,Industry
Phrase-based translation,,2003,01-05-2003,NA,Academia
Player of Games,,2021,06-12-2021,NA,Industry
PointNet,,2016,02-12-2016,NA,Academia
PointNet++,,2017,07-06-2017,NA,Academia
PreTrans-3L-250H,,2013,22-03-2013,NA,Academia
Punish/Reward,,1970,01-09-1970,NA,Academia
Q-learning,,1989,01-01-1989,NA,Academia
R-CNN (T-net),,2013,11-11-2013,NA,Academia
R-FCN,,2016,21-06-2016,61.5,"Collaboration, Industry-leaning"
RNN 500/10 + RT09 LM (NIST RT05),,2010,26-09-2010,3.41,Academia
RNNsearch-50*,,2014,01-09-2014,1560,Academia
Racter,,1984,01-10-1984,1.40E-09,Industry
Random Decision Forests,,1995,14-08-1995,NA,Industry
Rational DQN Average,,2021,18-02-2021,NA,Academia
ReLU (LFW),,2010,15-06-2010,NA,Academia
ReLU (NORB),,2010,15-06-2010,NA,Academia
RefineNet,,2016,20-11-2016,NA,Collaboration
Refined Part Pooling,,2018,09-01-2018,NA,Academia
ResNeXt-50,,2016,16-11-2016,NA,Collaboration
ResNet-110 (CIFAR-10),,2015,10-12-2015,NA,Industry
ResNet-152 (ImageNet),,2015,10-12-2015,12100,Industry
ResNet-50 Billion-scale,,2019,02-05-2019,NA,Industry
Restricted Bolzmann machines,,2007,20-06-2007,NA,Academia
RetinaNet-R101,,2017,07-08-2017,NA,Industry
RetinaNet-R50,,2017,07-08-2017,NA,Industry
RoBERTa,,2019,01-07-2019,NA,Industry
Rotation,,2018,21-03-2018,NA,Academia
SACHS,,2005,22-04-2005,NA,Academia
SAM,,1977,01-02-1977,NA,Academia
SENet (ImageNet),,2017,05-09-2017,NA,Academia
SNARC,,1952,08-01-1952,NA,Academia
SPPNet,,2014,18-06-2014,6110,Collaboration
STUDENT,,1964,03-01-1964,NA,Academia
Samuel Neural Checkers,,1959,01-07-1959,4.28E-07,Industry
Self Organizing System,,1955,01-03-1955,NA,Academia
Semantic Hashing,,2008,10-12-2008,NA,Academia
Seq2Seq LSTM,,2014,10-09-2014,7300,Industry
ShuffleNet v1,,2017,03-07-2017,NA,Industry
ShuffleNet v2,,2018,30-06-2018,NA,Collaboration
SimCLR,,2020,13-02-2020,NA,Industry
SmooCT,,2014,01-07-2014,NA,Academia
Sparse all-MLP,,2022,14-04-2022,21700,"Collaboration, Industry-leaning"
SqueezeNet,,2016,24-02-2016,NA,Collaboration
Stable Diffusion (LDM-KL-8-G),,2022,13-04-2022,50000000,Industry
Stacked hourglass network,,2016,17-09-2016,NA,Academia
Stanley (DARPA Grand Challenge 2),,2006,01-01-2006,NA,Collaboration
Support Vector Machines,,1995,01-09-1995,NA,Industry
System 11,,1996,18-06-1996,9.58E-07,Academia
T5-11B,,2019,23-10-2019,40500000,Industry
T5-3B,,2019,23-10-2019,10400000,Industry
TD(0),,1977,01-08-1977,NA,Academia
TD-Gammon,,1992,01-05-1992,0.0182,Industry
Theseus,,1950,02-07-1950,4.00E-14,Industry
Thumbs Up?,,2002,28-05-2002,NA,Collaboration
Time-delay neural networks,,1989,03-03-1989,NA,Collaboration
TransE,,2013,05-12-2013,1340,Collaboration
Transformer,,2017,12-06-2017,7420,Industry
Transformer local-attention (NesT-B),,2021,26-05-2021,24100,"Collaboration, Industry-leaning"
UL2,,2022,10-05-2022,NA,Industry
ULM-FiT,,2018,18-01-2018,NA,Collaboration
Unsupervised Scale-Invariant Learning,,2003,18-06-2003,NA,Academia
VGG16,,2014,04-09-2014,8520,Academia
VGG19,,2014,04-09-2014,NA,Academia
ViT-H/14,,2020,28-09-2020,12800000,Industry
Visualizing CNNs,,2013,12-11-2013,532,Academia
Whisper,,2022,21-09-2022,46500000,Industry
Wide Residual Network,,2016,19-09-2016,NA,Academia
Word Representations,,2010,01-06-2010,NA,Academia
Word2Vec (large),,2013,16-10-2013,38.9,Industry
Word2Vec (small),,2013,16-10-2013,NA,Industry
XGLM,,2021,20-12-2021,NA,Industry
XLMR-XXL,,2021,17-08-2021,NA,Industry
XLNet,,2019,01-06-2019,NA,Collaboration
Xception,,2016,07-10-2016,43600,Industry
YOLO,,2015,08-06-2015,NA,Collaboration
YOLOv2,,2016,25-12-2016,NA,Collaboration
YOLOv3,,2018,08-04-2018,50900,Academia
Zip CNN,,1989,01-12-1989,0.0000434,Industry
data2vec (language),,2022,20-01-2022,NA,Industry
data2vec (speech),,2022,20-01-2022,NA,Industry
data2vec (vision),,2022,20-01-2022,NA,Industry
wave2vec 2.0 LARGE,,2020,22-10-2020,434000,Industry
